,mean,std,min,max
ssn_firstname_count_30,1.048903,0.4990288023917765,1.0,34.0
ssn_lastname_day_since,327.529169,96.14003229731563,0.0,365.0
ssn_lastname_count_0,1.007264,0.2232471369201486,1.0,21.0
ssn_lastname_count_1,1.014821,0.3810268798157828,1.0,34.0
ssn_lastname_count_3,1.019892,0.42262570549746875,1.0,34.0
ssn_lastname_count_7,1.025828,0.45189945632501277,1.0,34.0
ssn_lastname_count_14,1.033601,0.4729145762633179,1.0,34.0
ssn_lastname_count_30,1.048895,0.49901555886884486,1.0,34.0
ssn_address_day_since,329.157168,93.90660798194422,0.0,365.0
ssn_address_count_0,1.000508,0.02266588735848036,1.0,3.0
ssn_address_count_1,1.001469,0.03842972177708112,1.0,3.0
ssn_address_count_3,1.003464,0.05948112509042526,1.0,5.0
ssn_address_count_7,1.007287,0.08737223394657691,1.0,6.0
ssn_address_count_14,1.013892,0.12217621398163676,1.0,8.0
ssn_address_count_30,1.028412,0.18151801895355815,1.0,11.0
ssn_zip5_day_since,329.051923,94.02368979950892,0.0,365.0
ssn_zip5_count_0,1.000509,0.022687913825108836,1.0,3.0
ssn_zip5_count_1,1.001468,0.03841674702362499,1.0,3.0
ssn_zip5_count_3,1.003469,0.059522849242408214,1.0,5.0
ssn_zip5_count_7,1.00731,0.08750183744637312,1.0,6.0
ssn_zip5_count_14,1.013933,0.12233105278527065,1.0,8.0
ssn_zip5_count_30,1.028487,0.18172925977099957,1.0,11.0
ssn_dob_day_since,331.283191,91.96972067043231,0.0,365.0
ssn_dob_count_0,1.007225,0.22316103866046566,1.0,21.0
ssn_dob_count_1,1.014686,0.3808549152287656,1.0,34.0
ssn_dob_count_3,1.019578,0.4222616253269204,1.0,34.0
ssn_dob_count_7,1.025133,0.4511579943407436,1.0,34.0
ssn_dob_count_14,1.03226,0.4715501190352342,1.0,34.0
ssn_dob_count_30,1.046097,0.49631473171754137,1.0,34.0
ssn_homephone_day_since,330.845432,92.01792629756496,0.0,365.0
ssn_homephone_count_0,1.000488,0.02222076393316588,1.0,3.0
ssn_homephone_count_1,1.001403,0.0375637192251147,1.0,3.0
ssn_homephone_count_3,1.003321,0.058240658916474786,1.0,5.0
ssn_homephone_count_7,1.006988,0.08562228207130543,1.0,6.0
ssn_homephone_count_14,1.013308,0.11978694204612308,1.0,8.0
ssn_homephone_count_30,1.027179,0.17816378335899796,1.0,11.0
ssn_name_day_since,327.640046,96.01363948798034,0.0,365.0
ssn_name_count_0,1.007263,0.22324492977137853,1.0,21.0
ssn_name_count_1,1.014816,0.3810205129922168,1.0,34.0
ssn_name_count_3,1.019879,0.4226085706157776,1.0,34.0
ssn_name_count_7,1.025806,0.4518741578749731,1.0,34.0
ssn_name_count_14,1.033555,0.47286074649239196,1.0,34.0
ssn_name_count_30,1.048778,0.4988917273415684,1.0,34.0
ssn_fulladdress_day_since,329.246064,93.80186329361626,0.0,365.0
ssn_fulladdress_count_0,1.000505,0.022599678885662094,1.0,3.0
ssn_fulladdress_count_1,1.001463,0.038351807021849066,1.0,3.0
ssn_fulladdress_count_3,1.003455,0.05940594670682517,1.0,5.0
ssn_fulladdress_count_7,1.007268,0.08726502043348883,1.0,6.0
ssn_fulladdress_count_14,1.013855,0.12201251518753677,1.0,8.0
ssn_fulladdress_count_30,1.028324,0.18127267825913287,1.0,11.0
ssn_name_dob_day_since,331.427866,91.7899482305348,0.0,365.0
ssn_name_dob_count_0,1.007221,0.2231522058035776,1.0,21.0
ssn_name_dob_count_1,1.014677,0.3808434464621326,1.0,34.0
ssn_name_dob_count_3,1.019561,0.42224228301325906,1.0,34.0
